"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Aug 15 14:32:06 MSK 2023","Tue Aug 15 14:32:12 MSK 2023","5661","","test_jne","Test_check_confirmation_reservations","","","Проверка подтвержденных броней",""
"passed","Tue Aug 15 14:24:01 MSK 2023","Tue Aug 15 14:24:01 MSK 2023","403","","test_jne","Test_Main_PM_Window","","","Окно ПМ",""
"passed","Tue Aug 15 14:29:39 MSK 2023","Tue Aug 15 14:29:44 MSK 2023","5617","","test_jne","Test_find_gray_reservation","","","test_click_search",""
"passed","Tue Aug 15 14:33:01 MSK 2023","Tue Aug 15 14:33:12 MSK 2023","11032","","test_jne","Test_open_foto_passport","","","Выбор фото в папке",""
"passed","Tue Aug 15 14:17:28 MSK 2023","Tue Aug 15 14:17:28 MSK 2023","566","","test_jne","Test_check_run_configurator_for_check_windows","","","Вкладка station settings",""
"passed","Tue Aug 15 14:18:53 MSK 2023","Tue Aug 15 14:19:34 MSK 2023","41350","","test_jne","Test_Run_PM_after_change_ip_in_configurator","","","Предупреждения о have not access to server, install regula",""
"passed","Tue Aug 15 14:24:02 MSK 2023","Tue Aug 15 14:24:02 MSK 2023","583","","test_jne","Test_Main_PM_Window","","","Кнопка печать всех изображений",""
"passed","Tue Aug 15 14:20:18 MSK 2023","Tue Aug 15 14:20:19 MSK 2023","706","","test_jne","Test_Close_PM_Tray","","","Поиск кнопки в Трее",""
"failed","Tue Aug 15 14:24:05 MSK 2023","Tue Aug 15 14:24:10 MSK 2023","5389","","test_jne","Test_Main_PM_Window","","","Кнопка Уфмс формы",""
"passed","Tue Aug 15 14:24:20 MSK 2023","Tue Aug 15 14:24:21 MSK 2023","595","","test_jne","Test_Main_PM_Window","","","Окно Информация о брони",""
"passed","Tue Aug 15 14:27:31 MSK 2023","Tue Aug 15 14:27:36 MSK 2023","5564","","test_jne","Test_check_id_reservation","","","Выбор отеля",""
"passed","Tue Aug 15 14:24:23 MSK 2023","Tue Aug 15 14:24:24 MSK 2023","716","","test_jne","Test_Main_PM_Window","","","Нажатие на кнопку в трее",""
"passed","Tue Aug 15 14:27:25 MSK 2023","Tue Aug 15 14:27:31 MSK 2023","5849","","test_jne","Test_check_id_reservation","","","Поиск полей бронирований",""
"passed","Tue Aug 15 14:17:58 MSK 2023","Tue Aug 15 14:17:59 MSK 2023","513","","test_jne","Test_change_ip_configurator","","","Смена ip в конфигураторе",""
"passed","Tue Aug 15 14:24:22 MSK 2023","Tue Aug 15 14:24:22 MSK 2023","461","","test_jne","Test_Main_PM_Window","","","Кнопки Фиас, сохр.группу, сохранить, ок, закрыть",""
"passed","Tue Aug 15 14:16:25 MSK 2023","Tue Aug 15 14:16:28 MSK 2023","3521","","test_jne","Test_check_run_configurator_for_check_windows","","","Поиск полей пароля и логина",""
"passed","Tue Aug 15 14:17:36 MSK 2023","Tue Aug 15 14:17:37 MSK 2023","632","","test_jne","Test_check_run_configurator_for_check_windows","","","Переход на вкладку view_configuration",""
"passed","Tue Aug 15 14:24:03 MSK 2023","Tue Aug 15 14:24:04 MSK 2023","574","","test_jne","Test_Main_PM_Window","","","Кнопка сканировать",""
"passed","Tue Aug 15 14:17:34 MSK 2023","Tue Aug 15 14:17:35 MSK 2023","616","","test_jne","Test_check_run_configurator_for_check_windows","","","Переход на вкладку Employes",""
